iter	Passed	Remaining
406	6248	18316
407	6264	18301
408	6279	18286
409	6295	18273
410	6312	18260
411	6328	18247
412	6344	18234
413	6360	18222
414	6377	18210
415	6393	18196
416	6409	18182
417	6425	18170
418	6441	18157
419	6457	18141
420	6472	18125
421	6490	18117
422	6506	18103
423	6521	18088
424	6537	18073
425	6552	18058
426	6568	18044
427	6585	18032
428	6600	18017
429	6616	18002
430	6632	17988
431	6648	17974
432	6663	17960
433	6679	17945
434	6695	17931
435	6712	17919
436	6728	17907
437	6744	17892
438	6760	17878
439	6776	17865
440	6792	17850
441	6809	17841
442	6827	17831
443	6843	17818
444	6860	17806
445	6876	17791
446	6891	17777
447	6907	17761
448	6922	17746
449	6939	17734
450	6955	17719
451	6971	17705
452	6986	17691
453	7003	17679
454	7019	17665
455	7035	17650
456	7051	17636
457	7066	17620
458	7082	17606
459	7097	17589
460	7114	17577
461	7130	17562
462	7146	17549
463	7162	17535
464	7178	17520
465	7194	17507
466	7209	17492
467	7225	17477
468	7242	17465
469	7258	17450
470	7274	17438
471	7290	17423
472	7306	17408
473	7322	17393
474	7338	17379
475	7353	17365
476	7369	17350
477	7386	17337
478	7402	17323
479	7420	17315
480	7438	17305
481	7454	17291
482	7471	17279
483	7489	17270
484	7505	17253
485	7520	17238
486	7536	17223
487	7551	17208
488	7567	17194
489	7582	17177
490	7599	17163
491	7614	17148
492	7630	17134
493	7646	17119
494	7662	17104
495	7677	17088
496	7693	17073
497	7709	17060
498	7725	17046
499	7741	17030
500	7757	17016
501	7773	17002
502	7789	16987
503	7804	16971
504	7820	16956
505	7834	16939
506	7850	16924
507	7866	16910
508	7882	16895
509	7898	16880
510	7914	16865
511	7932	16856
512	7948	16842
513	7964	16828
514	7981	16814
515	7997	16800
516	8013	16786
517	8029	16772
518	8045	16758
519	8061	16742
520	8076	16727
521	8093	16713
522	8108	16698
523	8124	16683
524	8140	16668
525	8156	16653
526	8173	16641
527	8189	16626
528	8206	16615
529	8222	16600
530	8239	16588
531	8255	16572
532	8271	16558
533	8287	16544
534	8303	16529
535	8319	16513
536	8334	16498
537	8350	16482
538	8366	16468
539	8382	16455
540	8398	16440
541	8414	16425
542	8429	16409
543	8445	16394
544	8462	16381
545	8478	16367
546	8494	16351
547	8509	16335
548	8524	16319
549	8540	16305
550	8556	16290
551	8572	16275
552	8588	16261
553	8604	16245
554	8619	16230
555	8635	16214
556	8651	16199
557	8667	16184
558	8683	16170
559	8699	16155
560	8714	16138
561	8729	16123
562	8745	16109
563	8761	16094
564	8777	16079
565	8793	16064
566	8809	16049
567	8824	16033
568	8842	16023
569	8858	16008
570	8875	15993
571	8890	15978
572	8906	15963
573	8924	15951
574	8945	15945
575	8970	15947
576	8986	15933
577	9005	15923
578	9026	15917
579	9045	15908
580	9064	15898
581	9083	15887
582	9103	15881
583	9122	15871
584	9141	15861
585	9161	15852
586	9181	15845
587	9198	15832
588	9216	15819
589	9240	15819
590	9262	15814
591	9286	15812
